Time (s) Run #1,"Voltage, Ch A (V) Run #1","Current, Ch D (A) Run #1",charge (C) Run #1
0,0.03,9.45E-05,
2.50E-04,,,2.77E-08
5.00E-04,-0.005,1.64E-05,
7.50E-04,,,4.57E-08
0.001,-0.004,5.54E-05,
0.001,,,7.92E-08
0.002,-0.005,7.86E-05,
0.002,,,1.27E-07
0.002,-0.004,1.13E-04,
0.002,,,1.68E-07
0.003,-0.005,5.30E-05,
0.003,,,1.98E-07
0.003,-0.004,6.40E-05,
0.003,,,2.43E-07
0.004,-0.004,1.18E-04,
0.004,,,2.86E-07
0.004,-0.005,5.54E-05,
0.004,,,3.24E-07
0.005,-0.003,9.57E-05,
0.005,,,3.66E-07
0.005,-0.005,7.01E-05,
0.005,,,3.98E-07
0.006,-0.005,6.03E-05,
0.006,,,4.41E-07
0.006,-0.005,1.09E-04,
0.006,,,4.77E-07
0.007,-0.004,3.59E-05,
0.007,,,5.01E-07
0.007,-0.004,6.15E-05,
0.007,,,5.35E-07
0.008,-0.004,7.37E-05,
0.008,,,5.71E-07
0.008,-0.003,6.89E-05,
0.008,,,6.11E-07
0.009,-0.004,9.20E-05,
0.009,,,6.55E-07
0.009,-0.004,8.47E-05,
0.009,,,6.96E-07
0.01,-0.006,7.74E-05,
0.01,,,7.28E-07
0.01,-0.005,5.05E-05,
0.01,,,7.52E-07
0.011,-0.005,4.69E-05,
0.011,,,7.94E-07
0.011,-0.005,1.21E-04,
0.011,,,8.38E-07
0.011,-0.004,5.66E-05,
0.012,,,8.65E-07
0.012,-0.005,4.93E-05,
0.012,,,8.94E-07
0.013,-0.004,6.52E-05,
0.013,,,9.32E-07
0.013,-0.003,8.96E-05,
0.013,,,9.65E-07
0.014,-0.005,4.20E-05,
0.014,,,9.95E-07
0.014,-0.004,7.86E-05,
0.014,,,1.03E-06
0.015,-0.003,6.40E-05,
0.015,,,1.07E-06
0.015,-0.005,8.84E-05,
0.015,,,1.11E-06
0.016,-0.003,6.40E-05,
0.016,,,1.13E-06
0.016,-0.004,1.51E-05,
0.016,,,1.14E-06
0.017,-0.002,4.93E-05,
0.017,,,1.17E-06
0.017,-0.005,6.27E-05,
0.017,,,1.21E-06
0.018,-0.005,7.62E-05,
0.018,,,1.23E-06
0.018,-0.004,3.96E-05,
0.018,,,1.26E-06
0.019,-0.003,4.69E-05,
0.019,,,1.28E-06
0.019,-0.005,5.42E-05,
0.019,,,1.32E-06
0.02,-0.004,1.07E-04,
0.02,,,1.37E-06
0.02,-0.005,9.33E-05,
0.02,,,1.41E-06
0.021,-0.004,7.74E-05,
0.021,,,1.46E-06
0.021,-0.004,9.33E-05,
0.021,,,1.50E-06
0.022,-0.005,8.23E-05,
0.022,,,1.54E-06
0.022,-0.005,8.96E-05,
0.022,,,1.57E-06
0.022,-0.004,1.51E-05,
0.023,,,1.61E-06
0.023,-0.005,1.41E-04,
0.023,,,1.66E-06
0.023,-0.005,7.50E-05,
0.024,,,1.71E-06
0.024,-0.004,9.33E-05,
0.024,,,1.76E-06
0.025,-0.004,1.20E-04,
0.025,,,1.82E-06
0.025,-0.004,1.21E-04,
0.025,,,1.87E-06
0.026,-0.005,8.47E-05,
0.026,,,1.92E-06
0.026,-0.005,9.57E-05,
0.026,,,1.94E-06
0.027,-0.005,2.12E-05,
0.027,,,1.97E-06
0.027,-0.005,7.25E-05,
0.027,,,1.99E-06
0.028,-0.004,2.61E-05,
0.028,,,2.02E-06
0.028,-0.004,7.25E-05,
0.028,,,2.06E-06
0.029,-0.003,8.47E-05,
0.029,,,2.09E-06
0.029,-0.004,5.18E-05,
0.029,,,2.12E-06
0.03,-0.004,8.23E-05,
0.03,,,2.16E-06
0.03,-0.004,5.05E-05,
0.03,,,2.19E-06
0.031,-0.005,7.37E-05,
0.031,,,2.22E-06
0.031,-0.005,6.27E-05,
0.031,,,2.26E-06
0.032,-0.003,9.20E-05,
0.032,,,2.30E-06
0.032,-0.005,6.52E-05,
0.032,,,2.33E-06
0.033,-0.004,4.81E-05,
0.033,,,2.36E-06
0.033,-0.004,7.25E-05,
0.033,,,2.40E-06
0.034,-0.005,7.74E-05,
0.034,,,2.43E-06
0.034,-0.004,4.81E-05,
0.034,,,2.46E-06
0.035,-0.003,8.84E-05,
0.035,,,2.50E-06
0.035,-0.004,7.74E-05,
0.035,,,2.54E-06
0.036,-0.004,6.89E-05,
0.036,,,2.57E-06
0.036,-0.003,5.54E-05,
0.036,,,2.61E-06
0.036,-0.004,8.23E-05,
0.037,,,2.65E-06
0.037,-0.003,8.47E-05,
0.037,,,2.68E-06
0.037,-0.006,4.57E-05,
0.038,,,2.71E-06
0.038,-0.004,6.89E-05,
0.038,,,2.74E-06
0.039,-0.005,4.57E-05,
0.039,,,2.76E-06
0.039,-0.005,5.42E-05,
0.039,,,2.80E-06
0.04,-0.004,7.74E-05,
0.04,,,2.84E-06
0.04,-0.004,9.69E-05,
0.04,,,2.89E-06
0.041,-0.004,1.18E-04,
0.041,,,2.95E-06
0.041,-0.004,1.01E-04,
0.041,,,2.99E-06
0.042,-0.004,5.66E-05,
0.042,,,3.02E-06
0.042,-0.005,9.45E-05,
0.042,,,3.06E-06
0.043,-0.005,5.79E-05,
0.043,,,3.09E-06
0.043,-0.004,4.81E-05,
0.043,,,3.12E-06
0.044,-0.005,7.01E-05,
0.044,,,3.16E-06
0.044,-0.004,1.08E-04,
0.044,,,3.21E-06
0.045,-0.005,6.40E-05,
0.045,,,3.23E-06
0.045,-0.005,5.05E-05,
0.045,,,3.27E-06
0.045,-0.004,7.25E-05,
0.046,,,3.30E-06
0.046,-0.004,8.35E-05,
0.046,,,3.34E-06
0.047,-0.005,4.81E-05,
0.047,,,3.38E-06
0.047,-0.004,1.10E-04,
0.047,,,3.42E-06
0.047,-0.004,6.76E-05,
0.048,,,3.45E-06
0.048,-0.005,4.20E-05,
0.048,,,3.47E-06
0.049,-0.004,2.73E-05,
0.049,,,3.48E-06
0.049,-0.004,4.20E-05,
0.049,,,3.51E-06
0.05,-0.004,6.89E-05,
0.05,,,3.54E-06
0.05,-0.004,4.57E-05,
0.05,,,3.57E-06
0.051,-0.003,5.91E-05,
0.051,,,3.60E-06
0.051,-0.004,8.96E-05,
0.051,,,3.64E-06
0.052,-0.004,7.25E-05,
0.052,,,3.68E-06
0.052,-0.003,8.59E-05,
0.052,,,3.72E-06
0.052,-0.005,4.57E-05,
0.053,,,3.76E-06
0.053,-0.003,1.12E-04,
0.053,,,3.81E-06
0.054,-0.004,1.07E-04,
0.054,,,3.86E-06
0.054,-0.003,7.74E-05,
0.054,,,3.90E-06
0.055,-0.004,1.06E-04,
0.055,,,3.94E-06
0.055,-0.005,4.20E-05,
0.055,,,3.97E-06
0.056,-0.004,8.84E-05,
0.056,,,4.01E-06
0.056,-0.004,5.42E-05,
0.056,,,4.04E-06
0.057,-0.004,8.11E-05,
0.057,,,4.07E-06
0.057,-0.004,5.66E-05,
0.057,,,4.11E-06
0.058,-0.004,9.69E-05,
0.058,,,4.14E-06
0.058,-0.005,2.98E-05,
0.058,,,4.16E-06
0.059,-0.005,4.57E-05,
0.059,,,4.20E-06
0.059,-0.005,1.12E-04,
0.059,,,4.25E-06
0.06,-0.005,5.91E-05,
0.06,,,4.28E-06
0.06,-0.004,6.40E-05,
0.06,,,4.31E-06
0.06,-0.005,8.59E-05,
0.061,,,4.36E-06
0.061,-0.005,8.35E-05,
0.061,,,4.38E-06
0.062,-0.004,2.49E-05,
0.062,,,4.41E-06
0.062,-0.004,9.94E-05,
0.062,,,4.46E-06
0.062,-0.003,6.52E-05,
0.063,,,4.49E-06
0.063,-0.003,7.50E-05,
0.063,,,4.52E-06
0.064,-0.004,3.83E-05,
0.064,,,4.54E-06
0.064,-0.004,3.96E-05,
0.064,,,4.57E-06
0.065,-0.005,7.37E-05,
0.065,,,4.60E-06
0.065,-0.004,6.76E-05,
0.065,,,4.64E-06
0.066,-0.005,7.01E-05,
0.066,,,4.67E-06
0.066,-0.004,7.86E-05,
0.066,,,4.72E-06
0.067,-0.004,8.84E-05,
0.067,,,4.75E-06
0.067,-0.005,6.64E-05,
0.067,,,4.78E-06
0.068,-0.004,5.66E-05,
0.068,,,4.81E-06
0.068,-0.004,6.15E-05,
0.068,,,4.85E-06
0.069,-0.003,8.23E-05,
0.069,,,4.89E-06
0.069,-0.005,5.79E-05,
0.069,,,4.92E-06
0.07,-0.005,9.20E-05,
0.07,,,4.97E-06
0.07,-0.004,9.20E-05,
0.07,,,5.01E-06
0.071,-0.004,8.96E-05,
0.071,,,5.06E-06
0.071,-0.004,9.57E-05,
0.071,,,5.11E-06
0.072,-0.003,8.84E-05,
0.072,,,5.15E-06
0.072,-0.004,7.98E-05,
0.072,,,5.19E-06
0.072,-0.003,9.20E-05,
0.073,,,5.23E-06
0.073,-0.004,5.79E-05,
0.073,,,5.26E-06
0.073,-0.005,7.74E-05,
0.074,,,5.30E-06
0.074,-0.004,9.08E-05,
0.074,,,5.34E-06
0.075,-0.004,5.42E-05,
0.075,,,5.38E-06
0.075,-0.004,1.02E-04,
0.075,,,5.43E-06
0.075,-0.004,9.94E-05,
0.076,,,5.48E-06
0.076,-0.004,1.06E-04,
0.076,,,5.53E-06
0.077,-0.004,8.23E-05,
0.077,,,5.57E-06
0.077,-0.003,7.01E-05,
0.077,,,5.60E-06
0.077,-0.005,7.01E-05,
0.078,,,5.64E-06
0.078,-0.004,9.81E-05,
0.078,,,5.68E-06
0.079,-0.004,6.64E-05,
0.079,,,5.72E-06
0.079,-0.004,5.91E-05,
0.079,,,5.75E-06
0.08,-0.005,7.50E-05,
0.08,,,5.78E-06
0.08,-0.005,5.30E-05,
0.08,,,5.80E-06
0.08,-0.005,3.22E-05,
0.081,,,5.83E-06
0.081,-0.003,6.40E-05,
0.081,,,5.86E-06
0.082,-0.005,7.25E-05,
0.082,,,5.90E-06
0.082,-0.005,6.52E-05,
0.082,,,5.92E-06
0.083,-0.004,3.71E-05,
0.083,,,5.95E-06
0.083,-0.005,8.23E-05,
0.083,,,5.99E-06
0.084,-0.004,8.23E-05,
0.084,,,6.03E-06
0.084,-0.004,6.27E-05,
0.084,,,6.07E-06
0.085,-0.004,9.33E-05,
0.085,,,6.11E-06
0.085,-0.003,7.62E-05,
0.085,,,6.14E-06
0.086,-0.003,4.69E-05,
0.086,,,6.17E-06
0.086,-0.004,6.03E-05,
0.086,,,6.20E-06
0.087,-0.004,7.74E-05,
0.087,,,6.24E-06
0.087,-0.005,6.89E-05,
0.087,,,6.28E-06
0.088,-0.004,9.45E-05,
0.088,,,6.32E-06
0.088,-0.004,7.86E-05,
0.088,,,6.36E-06
0.089,-0.003,5.66E-05,
0.089,,,6.40E-06
0.089,-0.003,1.15E-04,
0.089,,,6.44E-06
0.09,-0.004,4.08E-05,
0.09,,,6.48E-06
0.09,-0.005,1.21E-04,
0.09,,,6.53E-06
0.09,-0.004,8.72E-05,
0.091,,,6.57E-06
0.091,-0.006,6.03E-05,
0.091,,,6.61E-06
0.091,-0.003,1.06E-04,
0.092,,,6.67E-06
0.092,-0.004,1.20E-04,
0.092,,,6.70E-06
0.093,-0.005,3.59E-05,
0.093,,,6.72E-06
0.093,-0.005,3.10E-05,
0.093,,,6.75E-06
0.094,-0.004,8.35E-05,
0.094,,,6.80E-06
0.094,-0.006,1.04E-04,
0.094,,,6.84E-06
0.095,-0.004,7.50E-05,
0.095,,,6.88E-06
0.095,-0.005,5.91E-05,
0.095,,,6.89E-06
0.095,-0.006,1.27E-05,
0.096,,,6.91E-06
0.096,-0.004,6.03E-05,
0.096,,,6.96E-06
0.097,-0.004,1.27E-04,
0.097,,,7.00E-06
0.097,-0.004,4.32E-05,
0.097,,,7.03E-06
0.098,-0.005,6.52E-05,
0.098,,,7.06E-06
0.098,-0.004,4.69E-05,
0.098,,,7.09E-06
0.099,-0.004,9.94E-05,
0.099,,,7.13E-06
0.099,-0.004,3.83E-05,
0.099,,,7.15E-06
0.1,-0.004,4.93E-05,
0.1,,,7.18E-06
0.1,-0.004,8.59E-05,
0.1,,,7.23E-06
0.101,-0.004,9.08E-05,
0.101,,,7.27E-06
0.101,-0.005,8.11E-05,
0.101,,,7.31E-06
0.102,-0.003,9.33E-05,
0.102,,,7.35E-06
0.102,-0.003,5.91E-05,
0.102,,,7.39E-06
0.103,-0.005,8.96E-05,
0.103,,,7.43E-06
0.103,-0.003,6.64E-05,
0.103,,,7.46E-06
0.104,-0.005,5.30E-05,
0.104,,,7.48E-06
0.104,-0.004,4.20E-05,
0.104,,,7.51E-06
0.105,-0.004,8.11E-05,
0.105,,,7.55E-06
0.105,-0.005,8.84E-05,
0.105,,,7.59E-06
0.106,-0.003,4.20E-05,
0.106,,,7.62E-06
0.106,-0.004,7.25E-05,
0.106,,,7.65E-06
0.107,-0.004,5.91E-05,
0.107,,,7.67E-06
0.107,-0.005,2.73E-05,
0.107,,,7.70E-06
0.108,-0.003,8.47E-05,
0.108,,,7.74E-06
0.108,-0.003,7.37E-05,
0.108,,,7.78E-06
0.109,-0.003,1.10E-04,
0.109,,,7.83E-06
0.109,-0.004,7.13E-05,
0.109,,,7.86E-06
0.11,-0.005,7.01E-05,
0.11,,,7.90E-06
0.11,-0.004,8.72E-05,
0.11,,,7.94E-06
0.111,-0.004,7.01E-05,
0.111,,,7.98E-06
0.111,-0.004,6.27E-05,
0.111,,,8.01E-06
0.112,-0.004,6.40E-05,
0.112,,,8.04E-06
0.112,-0.003,6.89E-05,
0.112,,,8.08E-06
0.113,-0.004,8.23E-05,
0.113,,,8.11E-06
0.113,-0.005,4.08E-05,
0.113,,,8.15E-06
0.114,-0.003,1.03E-04,
0.114,,,8.19E-06
0.114,-0.004,9.08E-05,
0.114,,,8.24E-06
0.115,-0.004,8.35E-05,
0.115,,,8.27E-06
0.115,-0.004,4.81E-05,
0.115,,,8.30E-06
0.116,-0.005,8.84E-05,
0.116,,,8.34E-06
0.116,-0.004,6.76E-05,
0.116,,,8.38E-06
0.117,-0.004,6.40E-05,
0.117,,,8.41E-06
0.117,-0.003,6.15E-05,
0.117,,,8.43E-06
0.118,-0.005,2.12E-05,
0.118,,,8.45E-06
0.118,-0.003,7.86E-05,
0.118,,,8.49E-06
0.119,-0.004,6.76E-05,
0.119,,,8.52E-06
0.119,-0.004,5.54E-05,
0.119,,,8.55E-06
0.12,-0.003,7.74E-05,
0.12,,,8.60E-06
0.12,-0.004,1.14E-04,
0.12,,,8.65E-06
0.12,-0.003,7.74E-05,
0.121,,,8.69E-06
0.121,-0.005,9.94E-05,
0.121,,,8.74E-06
0.121,-0.004,1.03E-04,
0.122,,,8.79E-06
0.122,-0.004,8.96E-05,
0.122,,,8.82E-06
0.122,-0.004,3.47E-05,
0.123,,,8.85E-06
0.123,-0.004,7.50E-05,
0.123,,,8.89E-06
0.123,-0.004,7.86E-05,
0.124,,,8.93E-06
0.124,-0.004,7.37E-05,
0.124,,,8.97E-06
0.125,-0.004,1.08E-04,
0.125,,,9.02E-06
0.125,-0.004,6.89E-05,
0.125,,,9.06E-06
0.126,-0.005,1.02E-04,
0.126,,,9.10E-06
0.126,-0.004,7.62E-05,
0.126,,,9.15E-06
0.127,-0.004,9.08E-05,
0.127,,,9.19E-06
0.127,-0.005,9.33E-05,
0.127,,,9.23E-06
0.128,-0.005,5.66E-05,
0.128,,,9.27E-06
0.128,-0.004,9.94E-05,
0.128,,,9.32E-06
0.129,-0.003,9.81E-05,
0.129,,,9.36E-06
0.129,-0.004,6.64E-05,
0.129,,,9.39E-06
0.13,-0.004,6.03E-05,
0.13,,,9.42E-06
0.13,-0.003,7.01E-05,
0.13,,,9.46E-06
0.131,-0.004,6.15E-05,
0.131,,,9.49E-06
0.131,-0.005,5.79E-05,
0.131,,,9.51E-06
0.132,-0.004,1.88E-05,
0.132,,,9.53E-06
0.132,-0.004,6.40E-05,
0.132,,,9.56E-06
0.133,-0.003,5.18E-05,
0.133,,,9.60E-06
0.133,-0.005,1.21E-04,
0.133,,,9.64E-06
0.134,-0.004,5.05E-05,
0.134,,,9.67E-06
0.134,-0.004,7.13E-05,
0.134,,,9.71E-06
0.135,-0.004,8.35E-05,
0.135,,,9.76E-06
0.135,-0.004,1.29E-04,
0.135,,,9.81E-06
0.136,-0.003,7.01E-05,
0.136,,,9.84E-06
0.136,-0.004,5.42E-05,
0.136,,,9.87E-06
0.137,-0.005,5.05E-05,
0.137,,,9.90E-06
0.137,-0.005,7.25E-05,
0.137,,,9.94E-06
0.138,-0.004,9.57E-05,
0.138,,,9.98E-06
0.138,-0.004,6.52E-05,
0.138,,,1.00E-05
0.139,-0.004,9.81E-05,
0.139,,,1.01E-05
0.139,-0.003,7.98E-05,
0.139,,,1.01E-05
0.14,-0.004,7.74E-05,
0.14,,,1.01E-05
0.14,-0.004,6.40E-05,
0.14,,,1.02E-05
0.141,-0.004,7.01E-05,
0.141,,,1.02E-05
0.141,-0.003,7.86E-05,
0.141,,,1.03E-05
0.142,-0.005,7.37E-05,
0.142,,,1.03E-05
0.142,-0.004,6.52E-05,
0.142,,,1.03E-05
0.143,-0.004,7.62E-05,
0.143,,,1.04E-05
0.143,-0.005,6.40E-05,
0.143,,,1.04E-05
0.144,-0.005,7.37E-05,
0.144,,,1.04E-05
0.144,-0.004,5.18E-05,
0.144,,,1.04E-05
0.145,-0.005,5.30E-05,
0.145,,,1.05E-05
0.145,-0.005,6.15E-05,
0.145,,,1.05E-05
0.145,-0.004,5.30E-05,
0.146,,,1.05E-05
0.146,-0.004,9.94E-05,
